,Date,Open,High,Low,Close,Volume,RSI,Stochastic Oscillator,SMAs,SMAm,MACD,A/D
1195,2023-12-07,2302.98,2303.44,2270.2,2288.84,13681706.0,64.17310130403249,69.60695389266819,2252.585,2113.9204,0.693191869257177,1614448.3023083045
1196,2023-12-08,2290.85,2316.02,2290.85,2306.05,14582525.0,66.29003104487931,82.61526832955407,2256.549285714286,2122.3466,0.7765558755189303,4644508.125510795
1197,2023-12-11,2308.2,2325.47,2302.42,2313.32,13564924.0,67.17244821030985,88.1103552532124,2261.7157142857145,2130.301,0.8390450444045783,3908883.1797409886
1198,2023-12-12,2318.29,2328.45,2284.99,2293.66,22496206.0,62.414345609734205,73.25018896447448,2265.4657142857145,2138.7078,-0.8353475558428443,-9611616.146535978
1199,2023-12-13,2289.56,2309.76,2284.6,2298.31,18141339.0,63.080466348214316,76.76492819349947,2270.659285714286,2147.3878,-1.957298239623178,-7982068.207744435
1200,2023-12-14,2309.38,2326.76,2307.22,2312.56,22272034.0,65.1205459443905,87.53590325018881,2276.6985714285715,2156.0519999999997,-2.057063872702699,-18080851.280415807
1201,2023-12-15,2318.2,2365.67,2311.98,2320.45,67697404.0,66.23311934043457,72.04846087279009,2284.727142857143,2165.168,-1.9121057168901103,-64418709.29866926
1202,2023-12-18,2317.97,2340.17,2314.36,2334.5,17243198.0,68.17959382696174,80.65176908752322,2291.4992857142856,2174.4494,-1.2238834925229796,-54751561.87286542
1203,2023-12-19,2334.62,2372.3,2329.22,2354.57,18940374.0,70.7715041457687,88.71706758304698,2300.9371428571426,2183.3526,0.15574019323385357,-51401384.29904915
1204,2023-12-20,2358.26,2380.4,2341.42,2346.52,15633376.0,68.36609896313622,79.49648995400625,2310.3135714285713,2191.0788000000002,0.10149109703394288,-62943933.33137349
1205,2023-12-21,2333.32,2355.14,2329.78,2348.67,16619821.0,68.6723551186323,71.2068965517242,2314.7914285714287,2198.5156,-0.19792900069911212,-54804415.3179664
1206,2023-12-22,2345.16,2353.47,2338.03,2346.7,9204610.0,68.02252879874442,69.41923774954611,2319.4814285714283,2206.2308,-0.897799090848828,-53671723.67288887
1207,2023-12-27,2348.85,2378.32,2348.85,2371.28,13649734.0,71.62979480028952,91.7241379310346,2324.6600000000003,2214.1652,-0.11556989154051678,-46543477.78690303
1208,2023-12-28,2374.38,2380.55,2356.32,2356.32,11537636.0,66.69825098452847,78.04259175351162,2327.9821428571427,2219.7018000000003,-0.9684823380252823,-58081113.78690303
1209,2023-12-29,2356.84,2367.01,2334.3,2342.99,10917243.0,62.56489198296546,60.85461177696686,2331.85,2224.1942,-2.695328651145232,-63197632.74716011
1210,2024-01-02,2344.1,2350.52,2288.3,2303.41,13920658.0,52.21741688814935,19.60396039603949,2331.6614285714286,2228.37,-6.548486119755388,-70357083.98470443
1211,2024-01-03,2300.34,2305.71,2264.17,2295.12,20767399.0,50.33950148098155,26.593916480494748,2330.361428571429,2233.2444,-9.52060532024501,-60178358.812822066
1212,2024-01-04,2295.14,2295.14,2263.57,2282.23,18611762.0,47.480222966715495,15.951444691400113,2329.545,2238.3106,-12.056565271356838,-56788506.69055406
1213,2024-01-05,2269.54,2281.04,2230.94,2274.59,15961824.0,45.819035602523186,29.175857228794904,2327.8507142857143,2243.3795999999998,-13.823687757566333,-44936613.421092875
1214,2024-01-08,2268.49,2283.34,2237.93,2279.86,15212783.0,47.19153250717112,32.69834904083954,2325.5150000000003,2247.7862,-14.160889314343095,-32055496.78709155
1215,2024-01-09,2290.55,2294.56,2267.41,2288.2,15720437.0,49.37703998596665,38.27284272441663,2323.2114285714283,2251.6258,-13.355971712797434,-23700214.801456314
1216,2024-01-10,2286.76,2299.77,2264.61,2270.82,15802065.0,45.18070508013684,26.655972194372083,2318.662857142857,2254.623,-13.48834041229756,-33920321.687121786
1217,2024-01-11,2279.93,2287.65,2242.88,2246.21,19924196.0,39.99722455535627,10.206536996190074,2310.922857142857,2257.4726,-14.631902074274763,-50880587.70365077
1218,2024-01-12,2248.84,2270.94,2239.41,2248.58,17900481.0,40.70276887102285,11.790655704832469,2303.927142857143,2259.9148,-14.594162868745752,-58368927.20222355
1219,2024-01-15,2249.09,2259.9,2206.6,2216.01,11952680.0,34.669476898539216,5.40960045990244,2294.4514285714286,2261.2403999999997,-16.014511641094725,-66101167.472392276
1220,2024-01-16,2208.87,2215.07,2187.87,2208.54,12186484.0,33.44500402537601,10.727631305792007,2284.5828571428574,2262.2430000000004,-16.63598100720211,-59765987.9223924
1221,2024-01-17,2201.05,2201.05,2161.56,2167.71,20596729.0,27.688654098969536,2.808347413123925,2270.042142857143,2262.0514,-18.815190286371152,-73947427.81882182
1222,2024-01-18,2170.27,2194.2,2170.27,2191.26,17989566.0,34.672696702618396,14.456072036992083,2258.2521428571426,2262.1564000000003,-17.705058192058004,-60378198.13641423
1223,2024-01-19,2198.47,2213.74,2191.88,2200.91,18791983.0,37.34318002219257,20.824513124470734,2248.1035714285713,2262.8122,-15.43813772684953,-63644874.04675295
1224,2024-01-22,2212.23,2223.04,2195.82,2205.03,16121392.0,38.4991089511667,30.15608740894917,2241.076428571429,2264.1088,-12.882725480390874,-68856786.22897178
1225,2024-01-23,2210.65,2215.66,2175.62,2196.27,14666559.0,36.93870851130966,25.11395702192318,2234.0157142857142,2264.616,-11.073060279731305,-68395251.15554513
1226,2024-01-24,2196.95,2225.62,2195.66,2213.36,16675294.0,41.887273496877604,37.4791983213951,2229.0964285714285,2266.0614,-8.15075616609293,-65367427.41188664
1227,2024-01-25,2213.69,2215.43,2195.21,2206.18,14153527.0,40.45107793259789,32.28420519499304,2224.21,2267.531,-6.214541026535958,-64163467.647297256
1228,2024-01-26,2200.87,2226.41,2191.67,2223.47,13770396.0,45.31364596659352,44.794153823891065,2220.182142857143,2267.2780000000002,-3.42210451958438,-52723812.24833358
1229,2024-01-29,2218.5,2224.08,2207.42,2213.17,11338365.0,43.05799201340116,37.341726358440134,2214.822857142857,2267.1692000000003,-1.9923188595998553,-56235574.757337116
1230,2024-01-30,2216.22,2238.85,2212.89,2235.83,15139945.0,49.065110513078906,58.90237132207145,2212.3235714285715,2267.5426,0.6164030186504839,-44618174.74192877
1231,2024-01-31,2235.89,2282.25,2233.6,2279.86,18811692.0,58.27584797654225,98.0197199436574,2214.727142857143,2268.5742,5.189684335771332,-27654784.64860904
1232,2024-02-01,2271.04,2322.65,2255.25,2306.07,23508144.0,62.61029852073043,89.70761686014035,2218.8335714285718,2269.6846,9.605515376105576,-15712368.468193542
1233,2024-02-02,2314.21,2366.31,2314.21,2350.44,22403766.0,68.5639291041113,92.2490842490843,2228.4357142857143,2271.8736,14.828210335710711,-6957269.1253911685
1234,2024-02-05,2351.28,2378.61,2323.58,2329.72,21181524.0,63.48051669648139,77.47523612070938,2237.0914285714284,2273.6448,16.0951614398005,-23412114.68236021
1235,2024-02-06,2333.11,2356.8,2326.38,2332.22,15881996.0,63.8289786447455,77.73351252759898,2248.842142857143,2275.7772,16.261475285541422,-33196092.49432636
1236,2024-02-07,2336.86,2351.35,2329.47,2347.31,12303686.0,65.94144989198551,84.58052120794122,2259.9885714285715,2278.1632,16.495613769952865,-25435998.0336316
1237,2024-02-08,2348.8,2355.29,2312.48,2318.89,11840601.0,58.95767977202919,70.57983151879394,2268.4157142857143,2280.38,13.945686104445175,-33730780.18710049
1238,2024-02-09,2317.87,2326.25,2304.28,2309.39,10792888.0,56.792439084067766,65.89979801960679,2275.87,2281.774,10.960076294149372,-39503034.80703704
1239,2024-02-12,2313.8,2355.07,2303.44,2345.13,16267950.0,62.38872032511362,82.09051032416818,2286.502857142857,2284.2278,10.720030836049645,-29499017.520575702
