Date,Open,High,Low,Close,Volume,RSI,Stochastic Oscillator,SMAs,SMAm,MACD,A/D,Target,TargetClass,TargetNextClose
2019-09-06,2111.05,2129.97,2108.64,2122.6,17296749.0,46.39143489540069,76.01447149701755,2104.39,2217.4556,9.538722278420536,-197804540.78716427,49.44999999999982,1,2174.41
2019-09-09,2124.96,2174.41,2124.96,2174.41,24031978.0,55.623594467908426,100.0,2108.982857142857,2214.3904,13.21096721187486,-173772562.78716427,14.010000000000218,1,2187.8
2019-09-10,2173.79,2189.02,2168.72,2187.8,27349052.0,57.6533326652938,99.15371809101012,2114.8342857142857,2211.5516,15.974462880412752,-149710786.00292724,3.130000000000109,1,2189.21
2019-09-11,2186.08,2202.44,2179.0,2189.21,23652931.0,57.87184880640181,91.60426450057116,2120.6314285714284,2208.514,17.22256046095311,-152758219.94575998,-2.899999999999636,0,2189.07
2019-09-12,2191.97,2205.99,2174.51,2189.07,21926693.0,57.83993447988742,89.49916216719441,2126.7307142857144,2205.3842,17.3172374625473,-154402025.39302787,12.2199999999998,1,2200.95
2019-09-13,2188.73,2210.7,2187.43,2200.95,16091161.0,59.862673519457736,94.12083936324169,2134.055,2202.2734,17.411628497852078,-151795077.5215195,19.210000000000036,1,2217.84
2019-09-16,2198.63,2217.84,2188.3,2217.84,25331963.0,62.60930273767555,100.0,2142.7971428571427,2199.7900000000004,17.780934033352118,-126463114.52151953,-20.0,0,2192.71
2019-09-17,2212.71,2214.48,2184.9,2192.71,27699795.0,56.422690342828,85.20894643908176,2152.887857142857,2196.8628,15.581046466182425,-139535769.63308144,12.190000000000055,1,2205.02
2019-09-18,2192.83,2206.8,2186.03,2205.02,25058550.0,58.58170931959226,91.33666711717788,2162.58,2194.7106,14.2399811539295,-118772281.64559998,-8.460000000000036,0,2191.61
2019-09-19,2200.07,2200.07,2184.93,2191.61,17058693.0,55.36377519116149,79.66035980148882,2166.6057142857144,2192.2874,11.833663741687694,-120777861.13965511,-18.25,0,2171.75
2019-09-20,2190.0,2198.29,2164.13,2171.75,47921900.0,50.90410194348319,64.26023573200982,2168.553571428572,2189.3834,8.44721484054125,-147320084.44176307,-20.0,0,2147.32
2019-09-23,2167.32,2171.39,2139.34,2147.32,22067731.0,45.99586989930387,45.31637717121591,2171.4221428571427,2186.0226,4.313062122726911,-158398705.0904369,21.61999999999989,1,2175.24
2019-09-24,2153.62,2183.13,2150.85,2175.24,17408621.0,51.72479404677768,66.96650124069451,2176.6014285714286,2183.0432,3.258006614720561,-149500246.40084612,-10.539999999999964,0,2159.68
2019-09-25,2170.22,2170.22,2144.63,2159.68,20185921.0,48.628676711653405,46.73992673992659,2180.372142857143,2179.8064,1.4059596600286604,-145942665.1695059,10.5,1,2172.47
2019-09-26,2161.97,2177.07,2159.78,2172.47,19182144.0,51.213686988352485,51.15202411714008,2183.9342857142856,2177.1224,0.9574875713409736,-136967330.00698504,10.849999999999909,1,2186.31
2019-09-27,2175.46,2190.53,2170.54,2186.31,12465462.0,53.916036827136274,59.83439490445834,2184.784285714285,2174.4204,1.477084904008663,-129764924.4992314,-15.019999999999982,0,2173.29
2019-09-30,2188.31,2188.77,2162.2,2173.29,16427282.0,51.051142444573856,43.24840764331187,2183.7478571428574,2171.0056,0.8587022191658775,-132479104.70171532,-23.480000000000018,0,2152.5
2019-10-01,2175.98,2175.98,2148.55,2152.5,18577628.0,46.77698001231388,16.764331210190896,2181.1257142857144,2167.2054000000003,-0.9383480560657068,-145706267.47386283,-50.33999999999969,0,2098.28
2019-10-02,2148.62,2148.62,2098.28,2098.28,18837261.0,37.87165874005549,0.0,2174.6407142857142,2162.4538,-5.511245813851383,-164543528.47386283,8.150000000000091,1,2099.3
2019-10-03,2091.15,2129.53,2076.45,2099.3,24703068.0,38.110363284684894,16.16097319470989,2167.38,2157.7316,-8.0464231464731,-167978129.86497042,19.519999999999982,1,2121.16
2019-10-04,2101.64,2124.78,2101.64,2121.16,17504852.0,43.15145876197922,32.39150909222631,2160.474285714285,2153.9486,-7.8231990689143425,-155950163.2789726,-5.0300000000002,0,2121.87
2019-10-07,2126.9,2126.9,2110.11,2121.87,13984162.0,43.31296288806471,34.84464902186417,2155.414285714286,2150.2702,-7.214677138170879,-150344838.06991994,9.980000000000018,1,2131.83
2019-10-08,2121.85,2135.75,2113.93,2131.83,19639702.0,45.64579311184812,44.79857628215496,2150.1864285714287,2147.1882,-5.789800603764929,-137761747.60429215,-2.0799999999999272,0,2134.37
2019-10-09,2136.45,2142.51,2126.6,2134.37,15836471.0,46.25324333891034,47.53775443204203,2146.0978571428573,2144.5972,-4.388274140425743,-138130037.6275483,-11.5300000000002,0,2122.99
2019-10-10,2134.52,2136.96,2113.87,2122.99,18221562.0,43.88675569368807,40.795932678821714,2142.615,2141.5096000000003,-3.953193498305216,-141957433.7167647,33.79999999999973,1,2159.91
2019-10-11,2126.11,2160.85,2125.66,2159.91,16428054.0,52.39630946551178,73.15918653576416,2143.514285714286,2139.8922,-1.05526672992933,-126407036.4806181,-13.699999999999818,0,2148.53
2019-10-14,2162.23,2163.42,2143.33,2148.53,15537342.0,49.88512990165837,63.18373071528764,2141.6064285714283,2138.5326,0.1544221712724152,-133901155.1456252,-2.149999999999636,0,2154.8
2019-10-15,2156.95,2161.73,2146.79,2154.8,21337309.0,51.27085109185321,68.67987377279111,2141.257857142857,2138.3458,1.3685721998320792,-132358699.07333551,2.799999999999727,1,2156.06
2019-10-16,2153.26,2167.1,2151.57,2156.06,22408366.0,51.56071534334033,69.78436185133228,2140.0857142857144,2138.3424,2.199024877204539,-141809748.48093414,13.320000000000164,1,2173.75
